[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 149 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [8192] mysql_escape_string(): This function is deprecated; use mysql_real_escape_string() instead. DbMysql.class.php 第 409 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.015625s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'left' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [8] Undefined offset: 1 CommonAction.class.php 第 154 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 2 ) AND ( `func_name` = 'Index' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id`,`menu_title`,`url` FROM `cms_admin_menu` WHERE ( `menu_id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_title`,`pid`,`url` FROM `cms_admin_menu` WHERE ( `status` = 1 ) AND ( `level` = 3 ) AND ( `func_name` = 'left' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [8] Use of undefined constant url - assumed 'url' CommonAction.class.php 第 138 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 20 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [8] Undefined variable: role_idarr IndexAction.class.php 第 23 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [2] implode(): Invalid arguments passed IndexAction.class.php 第 23 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [2] implode(): Invalid arguments passed Db.class.php 第 538 行.
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | SQL: SELECT `menu_id` FROM `cms_rolepriv` WHERE ( `role_id` IN () )  [ RunTime:0.000000s ]
[ 2015-09-24T21:19:53+08:00 ] /admin.php/index/left | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 27 行.
