[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(case when int_baoxian_fee = 1 then baoxian_fee else 0 end ) as sumbaoxian_fee,sum(case when int_bangong_fee = 1  then bangong_fee else 0 end ) as sumbangong_fee,sum(case when int_tongxun_fee = 1 then tongxun_fee else 0 end) as sumtongxun_fee,sum(case when int_chailv_fee = 1 then chailv_fee else 0 end) as sumchailv_fee,sum(case when int_fuli_fee = 1 then fuli_fee  else 0 end) as sumfuli_fee,sum(case when int_zhaodai_fee = 1 then zhaodai_fee else 0 end ) as sumzhaodai_fee,sum(case when int_car_fee = 1 then car_fee else 0 end) as sumcar_fee,sum(case when int_peixun_fee = 1 then peixun_fee else 0 end) as sumpeixun_fee,sum(case when int_zhengjian_fee = 1 then zhengjian_fee else 0 end) as sumzhengjian_fee,sum(case when int_zhijian_fee then zhijian_fee else 0 end) as sumzhijian_fee,sum(case when int_gongguan_fee = 1 then gongguan_fee else 0 end) as sumgongguan_fee,sum(case when int_zhejiu_fee =1 then zhejiu_fee else 0 end ) as sumzhejiu_fee,sum(case when int_guanli_fee = 1 then guanli_fee else 0 end ) as sumguanli_fee,sum(case when int_gongtan_fee = 1 then gongtan_fee else 0 end) as sumgongtan_fee,sum(case when int_qita_fee = 1 then qita_fee else 0 end) as sumqita FROM `cms_manage_fee` WHERE input_date like "%2015-11%" and shop_id = 5 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum( case when int_express_cost = 1 then express_cost else 0 end ) as sumexpress_cost,sum(case when int_share_cost = 1 then share_cost else 0 end) as sumshare_cost FROM `cms_express_fee` WHERE  input_date like "%2015-11%" and shop_id = 5 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(shifagongzi) as sumshifagongzi FROM `cms_employee_pay` WHERE  input_date like "%2015-11%" and is_used = "0" and shop_id = 5 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ view_template ] --START--
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001001s ]
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001001s ]
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ view_parse ] --START--
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-11-11T12:10:22+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
